kommune,citizenship,year,count
Copenhagen,Chile,2020,250
Copenhagen,China,2020,397
Copenhagen,Colombia,2020,32
Copenhagen,"Congo, Democratic Republic",2020,3
Copenhagen,Costa Rica,2020,6
Copenhagen,Croatia,2020,79
Copenhagen,Cuba,2020,3
Copenhagen,Cyprus,2020,11
Copenhagen,Czech Republic,2020,77
Copenhagen,Denmark,2020,3603
Copenhagen,Dominican Republic,2020,3
Copenhagen,Ecuador,2020,4
Copenhagen,Egypt,2020,26
Copenhagen,El Salvador,2020,1
Copenhagen,Eritrea,2020,1
Copenhagen,Estonia,2020,38
Copenhagen,Ethiopia,2020,16
Copenhagen,Finland,2020,153
Copenhagen,France,2020,402
Copenhagen,Georgia,2020,1
Copenhagen,Germany,2020,785
Copenhagen,Ghana,2020,6
Copenhagen,Greece,2020,129
Copenhagen,Guatemala,2020,2
Copenhagen,Guinea,2020,1
Copenhagen,Honduras,2020,1
Copenhagen,Hungary,2020,91
Copenhagen,Iceland,2020,229
Copenhagen,India,2020,489
Copenhagen,Indonesia,2020,18
Copenhagen,Iran,2020,55
Copenhagen,Iraq,2020,23
Copenhagen,Ireland,2020,55
Copenhagen,Israel,2020,12
Copenhagen,Italy,2020,664
Copenhagen,Ivory Coast,2020,1
Copenhagen,Japan,2020,96
Copenhagen,Jordan,2020,3
Copenhagen,Kazakhstan,2020,4
Copenhagen,Kenya,2020,6
Copenhagen,Kosovo,2020,3
Copenhagen,Kyrgyzstan,2020,1
Copenhagen,Laos,2020,1
Copenhagen,Latvia,2020,53
Copenhagen,Lebanon,2020,9
Copenhagen,Lithuania,2020,170
Copenhagen,Luxembourg,2020,5
Copenhagen,Malaysia,2020,7
Copenhagen,Malta,2020,4
Copenhagen,Mauritius,2020,1
Copenhagen,Mexico,2020,37
Copenhagen,Moldova,2020,1
Copenhagen,Montenegro,2020,1
Copenhagen,Morocco,2020,13
Copenhagen,Nepal,2020,203
Copenhagen,Netherlands,2020,247
Copenhagen,New Zealand,2020,25
Copenhagen,Nigeria,2020,10
Copenhagen,North Korea,2020,1
Copenhagen,Norway,2020,523
Copenhagen,Not stated,2020,3
Copenhagen,Oman,2020,1
Copenhagen,Pakistan,2020,79
Copenhagen,Peru,2020,7
Copenhagen,Philippines,2020,86
Copenhagen,Poland,2020,274
Copenhagen,Portugal,2020,183
Copenhagen,Qatar,2020,1
Copenhagen,Republic of North Macedonia,2020,4
Copenhagen,Romania,2020,202
Copenhagen,Russia,2020,56
Copenhagen,Saint Lucia,2020,1
Copenhagen,Saudi Arabia,2020,5
Copenhagen,Senegal,2020,1
Copenhagen,Serbia,2020,12
Copenhagen,Singapore,2020,48
Copenhagen,Slovakia,2020,88
Copenhagen,Slovenia,2020,19
Copenhagen,Somalia,2020,15
Copenhagen,South Africa,2020,12
Copenhagen,South Korea,2020,92
Copenhagen,Spain,2020,409
Copenhagen,Sri Lanka,2020,2
Copenhagen,Stateless,2020,3
Copenhagen,Sweden,2020,561
Copenhagen,Switzerland,2020,105
Copenhagen,Syria,2020,15
Copenhagen,Taiwan,2020,13
Copenhagen,Tajikistan,2020,1
Copenhagen,Tanzania,2020,4
Copenhagen,Thailand,2020,47
Copenhagen,Togo,2020,1
Copenhagen,Tunisia,2020,5
Copenhagen,Turkey,2020,58
Copenhagen,USA,2020,496
Copenhagen,Uganda,2020,1
Copenhagen,Ukraine,2020,36
Copenhagen,United Kingdom,2020,445
Copenhagen,Uruguay,2020,4
Copenhagen,Venezuela,2020,4
Copenhagen,Vietnam,2020,8
Copenhagen,Yugoslavia,2020,8
Copenhagen,Zimbabwe,2020,10
Dragør,Afghanistan,2020,2
Dragør,Argentina,2020,1
Dragør,Brazil,2020,2
Dragør,Croatia,2020,1
Dragør,Denmark,2020,42
Dragør,Germany,2020,1
Dragør,Hungary,2020,1
Dragør,India,2020,1
Dragør,Ireland,2020,1
Dragør,Italy,2020,1
Dragør,Netherlands,2020,1
Dragør,Norway,2020,2
Dragør,Paraguay,2020,1
Dragør,Philippines,2020,8
Dragør,Sweden,2020,11
Dragør,Thailand,2020,1
Dragør,USA,2020,3
Dragør,United Kingdom,2020,1
Egedal,Argentina,2020,2
Egedal,Bolivia,2020,1
Egedal,Brazil,2020,3
Egedal,Bulgaria,2020,10
Egedal,Chile,2020,2
Egedal,China,2020,4
Egedal,Denmark,2020,59
Egedal,Estonia,2020,1
Egedal,Finland,2020,1
Egedal,France,2020,1
Egedal,Germany,2020,9
Egedal,Ghana,2020,1
Egedal,Greece,2020,2
Egedal,Hungary,2020,1
Egedal,Iceland,2020,2
Egedal,India,2020,6
Egedal,Italy,2020,6
Egedal,Lithuania,2020,14
